,DATE,SKU,CUSTOMER,CITY,PRICE,QUANTITY,SALESPERSON
107,2021-01-08,12,42,35,500.0,20.0,4
108,2021-01-08,12,42,35,0.0,4.0,4
109,2021-01-08,31,171,6,1100.0,20.0,1
110,2021-01-08,24,425,51,1305.0,90.0,3
111,2021-01-08,24,425,51,0.0,30.0,3
112,2021-01-08,24,285,47,600.0,4.0,0
113,2021-01-11,17,19,46,18900.0,180.0,7
114,2021-01-11,17,310,56,110000.0,1100.0,0
115,2021-01-11,28,252,13,7875.0,125.0,7
116,2021-01-11,10,169,46,5040.0,120.0,7
117,2021-01-11,10,169,46,0.0,40.0,7
118,2021-01-11,10,282,39,4699.2,120.0,5
119,2021-01-11,10,282,39,0.0,40.0,5
120,2021-01-11,10,562,17,10560.0,240.0,7
121,2021-01-11,10,562,17,0.0,80.0,7
122,2021-01-11,10,19,46,2640.0,60.0,7
123,2021-01-11,10,19,46,0.0,20.0,7
124,2021-01-11,12,327,35,10000.0,125.0,3
125,2021-01-11,12,327,35,0.0,12.0,3
126,2021-01-11,12,327,35,600.0,20.0,3
127,2021-01-11,12,327,35,0.0,4.0,3
128,2021-01-11,28,245,20,14400.0,300.0,6
129,2021-01-11,13,555,38,9000.0,600.0,1
130,2021-01-11,13,555,38,0.0,100.0,1
131,2021-01-11,10,510,38,21420.0,120.0,1
132,2021-01-11,10,510,38,0.0,24.0,1
133,2021-01-11,10,510,38,5040.0,120.0,1
134,2021-01-11,10,510,38,0.0,40.0,1
135,2021-01-12,28,121,6,1200.0,20.0,1
136,2021-01-12,10,121,6,7200.0,180.0,1
137,2021-01-12,10,121,6,0.0,60.0,1
138,2021-01-12,1,121,6,1120.0,20.0,1
139,2021-01-12,1,121,6,0.0,4.0,1
140,2021-01-12,22,121,6,3875.0,25.0,1
141,2021-01-12,13,121,6,600.0,40.0,1
142,2021-01-12,11,121,6,1423.73,120.0,1
143,2021-01-12,11,121,6,0.0,40.0,1
144,2021-01-12,21,121,6,4000.0,25.0,1
145,2021-01-12,24,121,6,3750.0,25.0,1
146,2021-01-12,26,121,6,2800.0,100.0,1
147,2021-01-12,26,121,6,0.0,20.0,1
148,2021-01-12,28,464,40,975.0,15.0,1
149,2021-01-12,37,464,40,1575.0,15.0,1
150,2021-01-12,37,251,23,15400.0,160.0,5
